SDJWT,HMAC,Merkle,Monoclaim,BBSPlus,PS,CL
2651,2774,1696,480,4143,1799,377376
2903,3387,1523,964,3991,1932,341458
3155,4007,1643,1448,3835,2063,305571
3410,4634,1779,1935,3703,2183,269672
3670,5274,1938,2427,3559,2327,233834
3930,5903,1759,2919,3426,2467,197871
4190,6542,2206,3411,3291,2599,162042
4450,7175,2199,3903,3152,2747,126124
4710,7794,2494,4395,3008,2888,90218
4970,8435,2327,4887,2879,3031,54344
