SDJWT,HMAC,Merkle,Monoclaim,BBSPlus,PS,CL
1366,1492,1543,480,2298,1802,129540
1450,1696,1434,642,2250,1832,117528
1534,1907,1476,803,2186,1883,105599
1618,2116,1370,964,2140,1934,93652
1702,2316,1564,1126,2095,1967,81691
1786,2523,1452,1287,2058,2011,69728
1870,2730,1490,1448,2008,2051,57767
1954,2940,1386,1610,1955,2098,45818
2038,3151,1416,1771,1903,2143,33856
2124,3359,1316,1935,1855,2182,21900
