SDJWT,HMAC,Merkle,Monoclaim,BBSPlus,PS,CL
107,109,103,97,17921,3101,226841
108,118,104,257,17914,3552,205603
109,128,105,419,17917,3995,184377
110,137,106,579,17917,4440,163020
111,147,109,739,17921,4887,141735
114,156,110,899,17925,5325,120456
115,166,112,1060,17923,5767,99143
116,176,114,1222,17928,6198,77832
118,186,115,1380,17930,6645,56594
120,195,116,1541,17931,7084,35254
