SDJWT,HMAC,Merkle,Monoclaim,BBSPlus,PS,CL
44,44,51,36,41733,15393,789362
46,47,52,40,40411,58162,712506
48,50,53,43,39116,90799,636461
49,52,54,46,37812,113639,558483
51,55,56,49,36507,126626,481460
53,57,58,52,35195,129422,404504
54,59,60,55,33893,122423,327435
55,61,61,58,32603,105819,250514
56,64,63,61,31274,79007,173505
57,65,63,64,29972,41950,96528
